Substance,Type,Valore,Context
Phosalone,LD50 '=,120.0 mg/kg bw,2006 oral: unspecified Rat acute toxicity mortality systemic;
Phosalone,NOAEL '=,0.9 mg/kg bw/day,2006 Not reported Dog chronic/long term toxicity neurology neurotoxicity;
Phosalone,NOAEL '=,10.0 mg/kg bw/day,2006 Not reported Rabbit reproduction toxicity development reproductive;
Phosalone,NOAEL '=,3.5 mg/kg bw/day,2006 Not reported Rat reproduction toxicity development reproductive;
Phosmet,LD50 '=,57.0 mg/kg bw,2006 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Phosmet,LD50 '=,0.22 µg/piece,2006 dermal Honey bee acute toxicity mortality;
Phosmet,LD50 '=,0.37 µg/piece,2006 oral: unspecified Honey bee acute toxicity mortality;
Phosmet,LD50 '=,113.0 mg/kg bw,2006 oral: unspecified Rat acute toxicity mortality systemic;
Phosmet,NOAEL '=,4.5 mg/kg bw,2006 Not reported Rat acute toxicity clinical chemistry neurotoxicity;
Phosmet,NOAEL ca.,2.0 mg/kg bw/day,2006 oral: unspecified Dog short-term toxicity clinical chemistry neurotoxicity;
Phosmet,NOAEL ca.,2.0 mg/kg bw/day,2006 oral: unspecified Mouse short-term toxicity clinical chemistry neurotoxicity;
Phosmet,NOAEL '=,1.5 mg/kg bw/day,2006 Not reported Rat subchronic clinical chemistry neurotoxicity;
Phosmet,NOAEL ca.,2.0 mg/kg bw/day,2006 oral: unspecified Rat subchronic clinical chemistry neurotoxicity;
Phosmet,LD50 '=,57.0 mg/kg bw,2011 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Phosmet,LD50 '=,0.22 µg/piece,2011 dermal Honey bee acute toxicity mortality;
Phosmet,LD50 '=,113.0 mg/kg bw,2011 oral: unspecified Rat acute toxicity mortality systemic;
Phosmet,NOAEL '=,4.5 mg/kg bw/day,2011 Not reported Rat acute toxicity neurology neurotoxicity;
Phosmet,NOAEL '=,1.0 mg/kg bw/day,2011 Not reported Rat reproduction toxicity reproduction reproductive;
Phosmet,NOAEL '=,1.5 mg/kg bw/day,2011 Not reported Rat subchronic neurology neurotoxicity;
Phosmet,NOAEL '=,2.0 mg/kg bw/day,2011 oral: unspecified Rat subchronic other systemic;
Phosmet,LD50 '=,19.7 µg/L,2021 Not reported Bluegill acute toxicity mortality;
Phosmet,LD50 '=,56.25 mg/kg bw/day,2021 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Phosmet,LD50 '=,0.22 µg/piece,2021 dermal Honey bee acute toxicity mortality;
Phosmet,LD50 '=,0.302 µg/piece,2021 oral: unspecified Honey bee acute toxicity mortality;
Phosmet,LD50 '=,113.0 mg/kg bw/day,2021 oral: unspecified Rat acute toxicity mortality systemic;
Phosmet,LD50 >,2321.0 mg/kg bw/day,2021 oral: feed Mallard duck short-term toxicity mortality systemic;
Phosmet,NOAEL '=,1.8 mg/kg bw/day,2021 Not reported Rat chronic/long term toxicity clinical chemistry neurotoxicity;
Phosmet,NOAEL '=,1.0 mg/kg bw/day,2021 Not reported Rat reproduction toxicity not reported not reported;
Phosmet,NOAEL '=,10.0 mg/kg bw/day,2021 Not reported Rat reproduction toxicity development developmental;
Phosmet,NOAEL '=,1.88 mg/kg bw/day,2021 oral: unspecified Dog subchronic clinical chemistry neurotoxicity;
Phosmet,NOAEL '=,1.88 mg/kg bw/day,2021 oral: unspecified Rat subchronic clinical chemistry neurotoxicity;
Phosphine,LD50 <=,9.2 mg/kg bw/day,2008 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Phosphine,NOAEL '=,1.1 mg/kg bw/day,2008 inhalation: unspecified Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
Phosphine,NOAEL '=,1.9 mg/kg bw/day,2008 inhalation: unspecified Rat reproduction toxicity mortality systemic;
Phosphine,NOAEL '=,1.1 mg/kg bw/day,2008 inhalation: unspecified Rat subchronic no adverse effect observed at single/highest dose;
Phosphine,LD50 '=,179.0 mg/kg,2009 inhalation: unspecified Rat acute toxicity mortality systemic;
Phosphine,LD50 '=,179.0 mg/kg,2009 inhalation: unspecified Rat acute toxicity mortality systemic;
Phosphine,NOAEL '=,1.1 mg/kg bw/day,2009 inhalation: unspecified Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
Phosphine,NOAEL '=,1.9 mg/kg bw/day,2009 inhalation: unspecified Rat reproduction toxicity mortality systemic;
Phosphine,NOAEL '=,1.9 mg/kg bw/day,2009 inhalation: unspecified Rat reproduction toxicity development teratogenic;
Phosphine,NOAEL '=,1.1 mg/kg bw/day,2009 inhalation: unspecified Rat subchronic no adverse effect observed at single/highest dose;
Phosphine,NOAEL '=,1.11 mg/kg bw/day,2009 inhalation: unspecified Rat subchronic mortality systemic;
Phosphine,NOAEL '=,1.1 mg/kg bw/day,2009 inhalation: unspecified Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
Phosphine,NOAEL '=,1.9 mg/kg bw/day,2009 inhalation: unspecified Rat reproduction toxicity mortality systemic;
Phosphine,NOAEL '=,1.9 mg/kg bw/day,2009 inhalation: unspecified Rat reproduction toxicity development teratogenic;
Phosphine,NOAEL '=,1.1 mg/kg bw,2009 inhalation: unspecified Rat subchronic mortality systemic;
Phosphine,NOAEL '=,1.1 mg/kg bw/day,2009 inhalation: unspecified Rat subchronic no adverse effect observed at single/highest dose;
Phosphine,NOAEL '=,1.1 mg/kg bw/day,2010 inhalation: unspecified Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
Phosphine,NOAEL '=,1.9 mg/kg bw/day,2010 inhalation: unspecified Rat reproduction toxicity mortality systemic;
Phosphine,NOAEL '=,1.1 mg/kg bw/day,2010 inhalation: unspecified Rat subchronic no adverse effect observed at single/highest dose;
Phosphine,LD50 <,9.2 mg/kg bw/day,2011 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Phosphine,NOAEL '=,1.1 mg/kg bw/day,2011 inhalation: unspecified Rat chronic/long term toxicity not reported not reported;
Phosphine,NOAEL '=,1.9 mg/kg bw,2011 inhalation: unspecified Rat reproduction toxicity mortality reproductive;
Phosphine,NOAEL '=,1.1 mg/kg bw/day,2011 inhalation: unspecified Rat subchronic not reported not reported;
Phosphine,NOAEL '=,1.1 mg/kg bw/day,2012 inhalation: unspecified Rat chronic/long term toxicity not reported not reported;
Phosphine,NOAEL '=,1.9 mg/kg bw/day,2012 inhalation: unspecified Rat reproduction toxicity mortality reproductive;
Phosphine,NOAEL '=,1.1 mg/kg bw/day,2012 inhalation: unspecified Rat subchronic mortality systemic;
Phosphonic acid,LD50 >,29.7 µg/piece,2006 dermal Honey bee acute toxicity mortality;
Phosphonic acid,LD50 >,212.0 µg/piece,2006 oral: unspecified Honey bee acute toxicity mortality;
Phosphonic acid,NOAEL '=,224.47 mg/kg bw/day,2006 oral: unspecified Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
Phosphonic acid,LD50 >,2250.0 mg/kg bw,2012 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Phosphonic acid,NOAEL '=,390.0 mg/kg bw/day,2012 Not reported Rat chronic/long term toxicity not reported not reported;
Phosphonic acid,LD50 '=,1700.0 mg/kg bw,2013 oral: unspecified Rat acute toxicity mortality systemic;
Phosphonic acid,NOAEL '=,284.7 mg/kg bw/day,2013 Not reported Rat chronic/long term toxicity clinical signs systemic;
Phosphonic acid,LD50 >,675.0 mg/kg bw/day,2018 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Phosphonic acid,LD50 >,29.7 µg/piece,2018 dermal Honey bee acute toxicity mortality;
Phosphonic acid,LD50 >,212.0 µg/piece,2018 oral: unspecified Honey bee acute toxicity mortality;
Phosphonic acid,LD50 '=,3624.0 mg/kg bw,2018 oral: unspecified Rat acute toxicity mortality systemic;
Phosphonic acid,NOAEL '=,390.0 mg/kg bw,2018 Not reported Rat chronic/long term toxicity clinical signs systemic;
Phosphonic acid,NOAEL '=,100.0 mg/kg bw/day,2018 Not reported Rabbit reproduction toxicity development developmental;
Picloram,LD50 >,100.0 µg/piece,2009 dermal Honey bee acute toxicity mortality;
Picloram,LD50 >,74.0 µg/piece,2009 oral: unspecified Honey bee acute toxicity mortality;
Picloram,LD50 '=,4012.0 mg/kg bw/day,2009 oral: unspecified Rat acute toxicity mortality systemic;
Picloram,NOAEL '=,35.0 mg/kg bw/day,2009 oral: unspecified Dog chronic/long term toxicity organ weights hepatotoxicity;
Picloram,NOAEL '=,30.0 mg/kg bw/day,2009 Not reported Rabbit reproduction toxicity body weight systemic;
Picloram formulation (GF-224),LD50 >,2250.0 mg/kg bw/day,2009 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Picloram formulation (GF-224),LD50 >,5000.0 mg/kg bw/day,2009 oral: unspecified Rat acute toxicity mortality systemic;
Picloram potassium salt,LD50 >,2250.0 mg/kg bw/day,2009 oral: unspecified Mallard duck acute toxicity mortality systemic;
Picolinafen,LD50 >,200.0 µg/piece,2015 oral: unspecified Honey bee acute toxicity mortality;
Picolinafen,LD50 >,2250.0 mg/kg bw/day,2015 oral: unspecified Mallard duck acute toxicity mortality systemic;
Picolinafen,LD50 >,5000.0 mg/kg bw/day,2015 Not reported Rat acute toxicity mortality systemic;
Picolinafen,NOAEL '=,1.4 mg/kg bw/day,2015 oral: unspecified Dog chronic/long term toxicity haematology hemopoietic;
Picolinafen,NOAEL '=,4.0 mg/kg bw/day,2015 Not reported Rat chronic/long term toxicity not reported not reported;
Picolinafen,NOAEL '=,5.0 mg/kg bw/day,2015 Not reported Rabbit reproduction toxicity haematology hemopoietic;
Picolinafen,NOAEL '=,5.2 mg/kg bw/day,2015 oral: unspecified Dog subchronic haematology hemopoietic;
Picoxystrobin,LD50 >,2250.0 mg/kg bw,2016 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Picoxystrobin,LD50 >,200.0 µg/piece,2016 dermal Honey bee acute toxicity mortality;
Picoxystrobin,LD50 >,200.0 µg/piece,2016 oral: unspecified Honey bee acute toxicity mortality;
Picoxystrobin,LD50 >,5000.0 mg/kg bw,2016 Not reported Rat acute toxicity mortality systemic;
Picoxystrobin,NOAEL '=,21.8 mg/kg bw/day,2016 Not reported Rat chronic/long term toxicity not reported not reported;
Pin-2(10)-ene,NOAEL '=,222.0 mg/kg bw/day,2015 oral: feed Rat subchronic haematology systemic;
Pin-2(10)-ene,NOAEL '=,222.0 mg/kg bw/day,2016 oral: feed Rat subchronic haematology systemic;
Pin-2(3)-ene,NOAEL '=,222.0 mg/kg bw/day,2015 oral: feed Rat subchronic haematology systemic;
Pin-2(3)-ene,NOAEL '=,222.0 mg/kg bw/day,2016 oral: feed Rat subchronic haematology systemic;
Pinoxaden,LD50 >,100.0 µg/piece,2013 dermal Honey bee acute toxicity mortality;
Pinoxaden,LD50 >,200.0 µg/piece,2013 oral: unspecified Honey bee acute toxicity mortality;
Pinoxaden,LD50 >,2250.0 mg/kg bw/day,2013 oral: unspecified Mallard duck acute toxicity mortality systemic;
Pinoxaden,LD50 >,5000.0 mg/kg bw/day,2013 oral: unspecified Rat acute toxicity mortality systemic;
Pinoxaden,NOAEL '=,10.0 mg/kg bw/day,2013 Not reported Rat chronic/long term toxicity histopathology non neoplastic nephrotoxicity;
Pinoxaden,NOAEL '=,10.0 mg/kg bw/day,2013 Not reported Rabbit reproduction toxicity development teratogenic;
Pinoxaden,NOAEL '=,30.0 mg/kg bw/day,2013 Not reported Rabbit reproduction toxicity development teratogenic;
Pinoxaden,NOAEL '=,250.0 mg/kg bw/day,2013 Not reported Rat reproduction toxicity body weight systemic;
Pinoxaden,NOAEL '=,500.0 mg/kg bw/day,2013 oral: gavage Rat reproduction toxicity no adverse effect observed at single/highest dose;
Piperidine,NOAEL '=,5.0 mg/kg bw/day,2016 oral: unspecified Rat subchronic clinical chemistry systemic;
Piperonal,NOAEL '=,250.0 mg/kg bw/day,2008 Not reported Rat chronic/long term toxicity not reported not reported;
Pirimicarb,LD50 '=,20.9 mg/kg bw,2005 oral: gavage Bobwhite quail acute toxicity mortality systemic;
Pirimicarb,LD50 '=,53.1 µg/piece,2005 dermal Honey bee acute toxicity mortality;
Pirimicarb,LD50 '=,4.0 µg/piece,2005 oral: unspecified Honey bee acute toxicity mortality;
Pirimicarb,LD50 '=,142.0 mg/kg bw,2005 oral: unspecified Rat acute toxicity mortality systemic;
Pirimicarb,LD50 '=,370.0 mg/kg bw,2005 oral: feed Bobwhite quail acute toxicity mortality systemic;
Pirimicarb,LD50 ca.,20.0 mg/kg bw,2005 oral: gavage Bobwhite quail acute toxicity mortality systemic;
Pirimicarb,NOAEL '=,10.0 mg/kg bw,2005 oral: gavage Rat acute toxicity clinical signs neurotoxicity;
Pirimicarb,NOAEL '=,3.5 mg/kg bw/day,2005 oral: unspecified Dog chronic/long term toxicity haematology systemic;
Pirimiphos-methyl,NOAEL '=,15.0 mg/kg bw,2005 Not reported Rat acute toxicity clinical signs neurotoxicity;
Pirimiphos-methyl,NOAEL '=,0.5 mg/kg bw/week,2005 oral: unspecified Dog chronic/long term toxicity clinical signs systemic;
Pirimiphos-methyl,NOAEL '=,2.0 mg/kg bw/day,2005 oral: unspecified Dog chronic/long term toxicity clinical signs systemic;
Pirimiphos-methyl,NOAEL '=,0.4 mg/kg bw/day,2005 Not reported Rat chronic/long term toxicity clinical signs systemic;
Pirimiphos-methyl,NOAEL '=,2.1 mg/kg bw/day,2005 Not reported Rat subchronic clinical signs neurotoxicity;
Plant sterol oxidation products,NOAEL '=,128.0 mg/kg bw/day,2020 oral: feed Rat subchronic clinical chemistry hepatotoxicity;
Polybrominated biphenyls,NOAEL '=,0.15 mg/kg bw/day,2010 Not reported Rat chronic/long term toxicity histopathology neoplastic hepatotoxicity;
Polyethylene waxes oxidised,NOAEL '=,500.0 mg/kg bw/day,2009 Not reported Rat subchronic not reported not reported;
Polyethylene waxes oxidised,NOAEL '=,800.0 mg/kg bw/day,2015 Not reported Rat subchronic clinical chemistry systemic;
Polyglycerol polyricinoleate,NOAEL '=,2500.0 mg/kg bw/day,2017 oral: feed Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
Polyglycitol Syrup,NOAEL '=,7600.0 mg/kg bw/day,2009 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
Polyglycitol Syrup,NOAEL '=,15400.0 mg/kg bw/day,2009 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
Polyoxyethylene sorbitan monooleate,NOAEL '=,2500.0 mg/kg bw/day,2015 oral: unspecified Rat chronic/long term toxicity mortality systemic;
Polysorbates,NOAEL '=,2500.0 mg/kg bw/day,2015 oral: unspecified Rat chronic/long term toxicity mortality systemic;
Polyvinyl alcohol,NOAEL '=,5000.0 mg/kg bw/day,2006 oral: unspecified Rat reproduction toxicity no adverse effect observed at single/highest dose;
Polyvinyl alcohol,NOAEL '=,5000.0 mg/kg bw/day,2006 oral: unspecified Rat subchronic no adverse effect observed at single/highest dose;
Polyvinyl alcohol-polyethylene glycol-graft-co-polymer,NOAEL '=,800.0 mg/kg bw/day,2013 oral: feed Dog chronic/long term toxicity no adverse effect observed at single/highest dose;
Ponceau 4R,NOAEL '=,70.0 mg/kg bw/day,2009 oral: feed Mouse chronic/long term toxicity neurology nephrotoxicity;
Ponceau 4R,NOAEL '=,70.0 mg/kg bw/day,2018 oral: feed Mouse chronic/long term toxicity neurology nephrotoxicity;
Potassium acid tartrate,NOAEL '=,3100.0 mg/kg bw/day,2020 oral: feed Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
Potassium benzoate,NOAEL '=,500.0 mg/kg bw/day,2016 oral: feed Rat reproduction toxicity no adverse effect observed at single/highest dose;
Potassium benzoate,NOAEL '=,1310.0 mg/kg bw/day,2016 oral: feed Rat reproduction toxicity no adverse effect observed at single/highest dose;
Potassium diformate,NOAEL '=,50.0 mg/kg bw/day,2009 Not reported Rat chronic/long term toxicity clinical signs irritation;
Potassium ferrocyanide,NOAEL '=,4.4 mg/kg bw/day,2018 oral: feed Rat chronic/long term toxicity urinalysis nephrotoxicity;
Potassium hydrogen carbonate,LD50 >,24.0 µg/piece,2012 dermal Honey bee acute toxicity mortality;
Potassium hydrogen carbonate,LD50 '=,2064.0 mg/kg bw/day,2012 oral: unspecified Rat acute toxicity mortality systemic;
Potassium hydrogen carbonate,LD50 >,368.0 µg/piece,2021 dermal Honey bee acute toxicity mortality;
Potassium hydrogen carbonate,LD50 '=,626.0 µg/piece,2021 oral: unspecified Honey bee acute toxicity mortality;
Potassium hydrogen carbonate,LD50 '=,2064.0 mg/kg bw,2021 oral: unspecified Rat acute toxicity mortality systemic;
Potassium hydrogen phosphonate,LD50 >,675.0 mg/kg bw,2013 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Potassium iodide,LD50 >,1177.0 mg/kg bw/day,2013 oral: unspecified Bird acute toxicity mortality systemic;
Potassium iodide,LD50 >,0.78 µg/piece,2013 dermal Honey bee acute toxicity mortality;
Potassium iodide,LD50 >,2.4 µg/piece,2013 oral: unspecified Honey bee acute toxicity mortality;
Potassium iodide,LD50 '=,1862.0 mg/kg bw,2013 oral: unspecified Mouse acute toxicity mortality systemic;
Potassium iodide,NOAEL '=,0.5 mg/kg bw/day,2013 Not reported American mink reproduction toxicity reproduction reproductive;
Potassium iodide,NOAEL '=,0.5 mg/kg bw/day,2013 Not reported Rabbit reproduction toxicity mortality developmental;
Potassium iodide,NOAEL '=,0.5 mg/kg bw/day,2013 Not reported Rat reproduction toxicity mortality developmental;
Potassium L-aspartate,NOAEL '=,700.0 mg/kg bw/day,2008 oral: feed Rat subchronic histopathology neoplastic nephrotoxicity;
Potassium phosphonates,LD50 >,207.0 µg/piece,2012 dermal Honey bee acute toxicity mortality;
Potassium phosphonates,LD50 >,145.0 µg/piece,2012 oral: unspecified Honey bee acute toxicity mortality;
Potassium phosphonates,LD50 >,4000.0 mg/kg bw,2012 dermal Rat acute toxicity mortality systemic;
Potassium phosphonates,LD50 >,5000.0 mg/kg bw,2012 oral: unspecified Rat acute toxicity mortality systemic;
Potassium phosphonates,NOAEL '=,390.0 mg/kg bw/day,2012 Not reported Rat chronic/long term toxicity not reported not reported;
Potassium phosphonates,NOAEL '=,500.0 mg/kg bw/day,2012 Not reported Rodents short-term toxicity histopathology non neoplastic nephrotoxicity;
Potassium polyaspartate,NOAEL '=,1000.0 mg/kg bw/day,2016 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
Potassium sodium tartrate (E 337),NOAEL '=,3100.0 mg/kg bw/day,2020 oral: feed Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
Potassium sorbate,NOAEL '=,300.0 mg/kg bw/day,2015 oral: gavage Rat reproduction toxicity body weight developmental;
Potassium thiocyanate,NOAEL '=,24.0 mg/kg bw/day,2012 Not reported Dog acute toxicity other neurotoxicity;
Potassium thiocyanate,LD50 '=,649.0 mg/kg bw,2013 oral: unspecified Bird acute toxicity mortality systemic;
Potassium thiocyanate,LD50 >,0.33 µg/piece,2013 dermal Honey bee acute toxicity mortality;
Potassium thiocyanate,LD50 >,1.0 µg/piece,2013 oral: unspecified Honey bee acute toxicity mortality;
Potassium thiocyanate,LD50 '=,854.0 mg/kg bw,2013 oral: unspecified Rat acute toxicity mortality systemic;
Processed Eucheuma seaweed,NOAEL '=,7500.0 mg/kg bw/day,2018 oral: feed Rat chronic/long term toxicity histopathology non neoplastic hepatotoxicity;
Prochloraz,LD50 '=,662.0 mg/kg bw/day,2011 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Prochloraz,LD50 '=,141.28 µg/piece,2011 dermal Honey bee acute toxicity mortality;
Prochloraz,LD50 >,101.06 µg/piece,2011 oral: unspecified Honey bee acute toxicity mortality;
Prochloraz,LD50 >,1954.0 mg/kg bw/day,2011 oral: unspecified Mallard duck acute toxicity mortality systemic;
Prochloraz,LD50 '=,707.0 mg/kg bw/day,2011 oral: unspecified Partridge acute toxicity mortality systemic;
Prochloraz,LD50 '=,1023.0 mg/kg bw/day,2011 oral: unspecified Rat acute toxicity mortality systemic;
Prochloraz,NOAEL '=,0.9 mg/kg bw/day,2011 Not reported Dog chronic/long term toxicity histopathology non neoplastic hepatotoxicity;
Prochloraz,NOAEL '=,2.26 mg/kg bw/day,2011 Not reported Rat chronic/long term toxicity mortality systemic;
Prochloraz,NOAEL '=,2.26 mg/kg bw/day,2011 Not reported Rat reproduction toxicity clinical signs reproductive;
Prochloraz,NOAEL '=,2.5 mg/kg bw/day,2011 oral: unspecified Dog subchronic organ weights systemic;
Procymidone,NOAEL '=,3.5 mg/kg bw/day,2012 Not reported Rat reproduction toxicity development developmental;
Profenofos,NOAEL '=,100.0 mg/kg bw/day,2012 Not reported Rat acute toxicity not reported neurotoxicity;
Prohexadione-calcium,LD50 >,2000.0 mg/kg bw,2010 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Prohexadione-calcium,LD50 >,100.0 µg/piece,2010 oral: unspecified Honey bee acute toxicity mortality;
Prohexadione-calcium,LD50 >,2000.0 mg/kg bw,2010 oral: unspecified Mallard duck acute toxicity mortality systemic;
Prohexadione-calcium,LD50 >,5000.0 mg/kg bw,2010 oral: unspecified Rat acute toxicity mortality systemic;
Prohexadione-calcium,NOAEL '=,20.0 mg/kg bw/day,2010 oral: unspecified Dog chronic/long term toxicity not reported nephrotoxicity;
Prohexadione-calcium,NOAEL '=,35.0 mg/kg bw/day,2010 Not reported Rat reproduction toxicity body weight developmental;
Prohexadione-calcium formulation (MEDAX TOP),LD50 <,2000.0 mg/kg bw,2010 oral: unspecified Rat acute toxicity mortality systemic;
Prohexadione-calcium formulation (REGALIS),LD50 >,2000.0 mg/kg bw,2010 oral: unspecified Rat acute toxicity mortality systemic;
Propachlor,NOAEL '=,58.0 mg/kg bw/day,2012 Not reported Rabbit reproduction toxicity development developmental;
Propamocarb hydrochloride,LD50 >,1842.0 mg/kg bw/day,2006 oral: unspecified Bird acute toxicity mortality systemic;
Propamocarb hydrochloride,LD50 >,84.0 µg/piece,2006 oral: unspecified Honey bee acute toxicity mortality;
Propamocarb hydrochloride,LD50 >,1330.0 mg/kg bw/day,2006 oral: unspecified Mammalian cell line acute toxicity mortality systemic;
Propamocarb hydrochloride,NOAEL '=,29.0 mg/kg bw/day,2006 oral: feed Rat chronic/long term toxicity histopathology non neoplastic neurotoxicity;
Propamocarb hydrochloride,NOAEL '=,100.0 mg/kg bw/day,2006 oral: gavage Rat short-term toxicity histopathology non neoplastic neurotoxicity;
Propan-2-ol,NOAEL '=,240.0 mg/kg bw/day,2005 oral: gavage Rabbit reproduction toxicity mortality reproductive;
Propan-2-ol,NOAEL '=,240.0 mg/kg bw/day,2012 oral: gavage Rabbit reproduction toxicity mortality reproductive;
Propanil,LD50 '=,196.0 mg/kg bw/day,2011 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Propanil,LD50 >,94.26 µg/piece,2011 oral: unspecified Honey bee acute toxicity mortality;
Propanil,LD50 '=,960.0 mg/kg bw/day,2011 oral: unspecified Rat acute toxicity mortality systemic;
Propanil,NOAEL '=,7.0 mg/kg bw/day,2011 oral: unspecified Dog subchronic haematology hemopoietic;
Propanil,LD50 '=,196.0 mg/kg bw/day,2018 oral: unspecified Bobwhite quail acute toxicity mortality;
Propanil,LD50 >,100.0 µg/piece,2018 dermal Honey bee acute toxicity mortality;
Propanil,LD50 >,100.0 µg/piece,2018 oral: unspecified Honey bee acute toxicity mortality;
Propanil,LD50 '=,960.0 mg/kg bw/day,2018 oral: unspecified Rat acute toxicity mortality systemic;
Propanil,NOAEL '=,11.33 mg/kg bw/day,2018 Not reported Mallard duck reproduction toxicity not reported not reported;
Propanil,NOAEL '=,11.0 mg/kg bw/day,2018 Not reported Rat reproduction toxicity body weight systemic;
Propanil formulation (Propanil 60 DF),LD50 '=,1500.0 mg/kg bw/day,2011 oral: unspecified Rat acute toxicity mortality systemic;
Propaquizafop,LD50 >,2000.0 mg/kg bw,2009 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Propaquizafop,LD50 >,20.0 µg/piece,2009 oral: unspecified Honey bee acute toxicity mortality;
Propaquizafop,LD50 '=,3009.0 mg/kg bw,2009 oral: unspecified Mouse acute toxicity mortality systemic;
Propaquizafop,NOAEL '=,1.5 mg/kg bw/day,2009 oral: unspecified Mouse chronic/long term toxicity clinical chemistry hepatotoxicity;
Propaquizafop,NOAEL '=,15.0 mg/kg bw/day,2009 Not reported Rat reproduction toxicity reproduction reproductive;
Propaquizafop,NOAEL '=,6.25 mg/kg bw/day,2009 oral: unspecified Rat subchronic not reported hepatotoxicity;
Propargite,LD50 '=,47.92 µg/piece,2011 dermal Honey bee acute toxicity mortality;
Propargite,LD50 >,4640.0 mg/kg bw,2011 oral: unspecified Mallard duck acute toxicity mortality systemic;
Propargite,LD50 '=,2639.0 mg/kg bw/day,2011 oral: unspecified Rat acute toxicity mortality systemic;
Propargite formulation (Omite 570 EW),LD50 '=,1650.0 mg/kg bw/day,2011 oral: unspecified Rat acute toxicity mortality systemic;
Propiconazole,NOAEL '=,30.0 mg/kg bw/day,2009 Not reported Rat reproduction toxicity development teratogenic;
Propiconazole,NOAEL >,2.8 mg/kg bw/day,2009 Not reported Rat reproduction toxicity reproduction reproductive;
Propiconazole,LD50 >=,2510.0 mg/kg bw/day,2017 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Propiconazole,LD50 '=,46.3 µg/piece,2017 dermal Honey bee acute toxicity mortality;
Propiconazole,LD50 '=,203.4 µg/piece,2017 oral: unspecified Honey bee acute toxicity mortality;
Propiconazole,LD50 '=,550.0 mg/kg bw/day,2017 oral: unspecified Rat acute toxicity mortality systemic;
Propiconazole,NOAEL '=,3.6 mg/kg bw/day,2017 Not reported Rat chronic/long term toxicity organ weights endocrine;
Propiconazole,NOAEL '=,25.5 mg/kg bw/day,2017 Not reported Mallard duck reproduction toxicity not reported not reported;
Propiconazole,NOAEL '=,8.4 mg/kg bw/day,2017 Not reported Rat reproduction toxicity histopathology non neoplastic reproductive;
Propiconazole,NOAEL '=,30.0 mg/kg bw/day,2017 Not reported Rat reproduction toxicity development teratogenic;
Propineb,LD50 >,100.0 µg/piece,2016 dermal Honey bee acute toxicity mortality;
Propineb,LD50 >,100.0 µg/piece,2016 oral: unspecified Honey bee acute toxicity mortality;
Propineb,LD50 >,5000.0 mg/kg bw/day,2016 oral: unspecified Japanese quail acute toxicity mortality systemic;
Propineb,LD50 >,2000.0 mg/kg bw/day,2016 oral: unspecified Rat acute toxicity mortality systemic;
Propineb,NOAEL '=,64.7 mg/kg bw/day,2016 Not reported Japanese quail chronic/long term toxicity not reported not reported;
Propineb,NOAEL '=,2.5 mg/kg bw/day,2016 Not reported Rat chronic/long term toxicity organ weights hepatotoxicity;
Propineb,NOAEL '=,3.0 mg/kg bw/day,2016 Not reported Rat reproduction toxicity body weight reproductive;
Propineb,NOAEL '=,3.0 mg/kg bw/day,2016 Not reported Rat reproduction toxicity development teratogenic;
Propineb,NOAEL '=,9.36 mg/kg bw/day,2016 Not reported Rat subchronic body weight systemic;
Propineb metabolite (Propined-DIDT),NOAEL '=,0.466 mg/kg bw/day,2016 Not reported Rat short-term toxicity neurology neurotoxicity;
Propisochlor,LD50 >,100.0 µg/piece,2010 dermal Honey bee acute toxicity mortality;
Propisochlor,LD50 >,111.0 µg/piece,2010 oral: unspecified Honey bee acute toxicity mortality;
Propisochlor,LD50 '=,1916.0 mg/kg bw,2010 oral: unspecified Rat acute toxicity mortality systemic;
Propisochlor,NOAEL '=,5.0 mg/kg bw/day,2010 oral: unspecified Dog chronic/long term toxicity not reported not reported;
Propisochlor,NOAEL '=,10.0 mg/kg bw,2010 Not reported Rat reproduction toxicity reproduction reproductive;
